customer_id,plan_type,industry_vertical,region,acquisition_channel,contract_type,tenure_months,monthly_revenue,annual_revenue,support_tickets_last_90d,nps_score,login_frequency_per_month,cac_inr,signup_date,churn_date,churned,arr_loss_inr
RIQ-00023,Pro,E-commerce,Delhi,Email Campaign,Annual,7,1500.0,18000.0,0.0,74.0,14,12900.0,2022-09-27,,0,0.0
RIQ-00024,Basic,Fintech,Chennai,Organic Search,Annual,6,550.0,6600.0,4.0,61.0,3,2900.0,2023-10-03,,0,0.0
RIQ-00025,Enterprise,Edtech,Bengaluru,Email Campaign,Annual,30,5760.0,69120.0,3.0,61.0,21,41200.0,2022-06-15,,0,0.0
RIQ-00026,Basic,Edtech,Delhi,Social Media,Monthly,1,500.0,6000.0,0.0,36.0,10,2100.0,2022-11-28,2022-12-28,1,6000.0
RIQ-00027,Pro,E-commerce,Hyderabad,Organic Search,Annual,1,2330.0,27960.0,1.0,86.0,17,8200.0,2022-11-11,,0,0.0
RIQ-00028,Basic,Fintech,Delhi,Social Media,Monthly,1,540.0,6480.0,0.0,31.0,12,2200.0,2023-05-13,2023-06-23,1,6480.0
RIQ-00029,Basic,Edtech,Hyderabad,Referral,Annual,3,560.0,6720.0,4.0,31.0,1,3600.0,2023-05-02,2023-08-15,1,6720.0
RIQ-00030,Basic,E-commerce,Mumbai,Email Campaign,Monthly,10,710.0,8520.0,1.0,0.0,1,3600.0,2022-08-05,2023-06-15,1,8520.0
RIQ-00031,Basic,Fintech,Hyderabad,Organic Search,Monthly,4,650.0,7800.0,4.0,48.0,3,3100.0,2023-11-19,2024-03-23,1,7800.0
RIQ-00032,Enterprise,Fintech,Delhi,Referral,Monthly,18,6240.0,74880.0,2.0,80.0,19,29200.0,2022-03-07,,0,0.0
RIQ-00033,Pro,E-commerce,Pune,Paid Search,Monthly,3,1720.0,20640.0,3.0,50.0,17,6500.0,2022-03-14,,0,0.0
RIQ-00034,Pro,Healthcare,Delhi,Paid Search,Annual,24,1530.0,18360.0,0.0,89.0,12,8100.0,2022-12-05,,0,0.0
RIQ-00035,Enterprise,Edtech,Pune,Paid Search,Annual,60,6070.0,72840.0,1.0,80.0,21,43000.0,2022-05-16,,0,0.0
RIQ-00036,Pro,Edtech,Delhi,Paid Search,Annual,18,1740.0,20880.0,3.0,49.0,13,7700.0,2023-04-30,,0,0.0
RIQ-00037,Enterprise,Edtech,Mumbai,Organic Search,Monthly,41,7150.0,85800.0,1.0,79.0,19,22200.0,2023-03-10,,0,0.0
RIQ-00038,Pro,E-commerce,Mumbai,Direct,Monthly,8,2150.0,25800.0,1.0,50.0,19,9600.0,2023-10-24,,0,0.0
RIQ-00039,Pro,Edtech,Chennai,Organic Search,Monthly,11,2360.0,28320.0,0.0,49.0,13,10000.0,2022-09-12,2023-07-30,1,28320.0
RIQ-00040,Pro,Fintech,Bengaluru,Direct,Annual,8,1780.0,21360.0,0.0,55.0,15,10000.0,2022-09-13,2023-05-23,1,21360.0
RIQ-00041,Enterprise,E-commerce,Pune,Social Media,Annual,60,7750.0,93000.0,0.0,83.0,22,20600.0,2022-02-21,,0,0.0
RIQ-00042,Pro,Edtech,Hyderabad,Social Media,Annual,38,1590.0,19080.0,0.0,60.0,17,10400.0,2022-08-31,,0,0.0
RIQ-00043,Basic,Edtech,Delhi,Social Media,Monthly,1,700.0,8400.0,4.0,55.0,9,3100.0,2022-03-02,2022-03-22,1,8400.0
RIQ-00044,Pro,Healthcare,Hyderabad,Referral,Annual,9,2280.0,27360.0,2.0,60.0,12,12300.0,2023-04-11,,0,0.0
RIQ-00045,Basic,Fintech,Delhi,Direct,Annual,15,890.0,10680.0,3.0,45.0,6,4200.0,2023-11-09,,0,0.0
RIQ-00046,Pro,E-commerce,Bengaluru,Organic Search,Monthly,50,2470.0,29640.0,1.0,81.0,20,6500.0,2023-08-17,,0,0.0
RIQ-00047,Pro,Edtech,Pune,Social Media,Monthly,31,1550.0,18600.0,1.0,57.0,17,10800.0,2023-05-04,2025-11-20,1,18600.0
RIQ-00048,Pro,Fintech,Hyderabad,Paid Search,Monthly,3,2010.0,24120.0,0.0,81.0,6,6600.0,2022-07-10,,0,0.0
RIQ-00049,Enterprise,Edtech,Bengaluru,Email Campaign,Annual,15,7020.0,84240.0,3.0,74.0,25,44800.0,2023-08-07,,0,0.0
RIQ-00050,Enterprise,Edtech,Delhi,Referral,Annual,8,7100.0,85200.0,0.0,55.0,23,30400.0,2023-08-21,,0,0.0
RIQ-00051,Basic,Fintech,Mumbai,Organic Search,Monthly,1,830.0,9960.0,1.0,43.0,1,2800.0,2022-11-18,2022-12-10,1,9960.0
RIQ-00052,Basic,Fintech,Mumbai,Email Campaign,Annual,8,730.0,8760.0,0.0,42.0,5,2000.0,2022-03-16,,0,0.0
RIQ-00053,Basic,E-commerce,Delhi,Social Media,Monthly,8,550.0,6600.0,2.0,55.0,7,3500.0,2023-07-05,2024-02-21,1,6600.0
RIQ-00054,Basic,Edtech,Bengaluru,Paid Search,Monthly,3,530.0,6360.0,1.0,25.0,3,2900.0,2022-09-08,2022-12-03,1,6360.0
RIQ-00055,Enterprise,Fintech,Hyderabad,Email Campaign,Annual,20,6510.0,78120.0,0.0,100.0,26,42200.0,2023-11-01,,0,0.0
RIQ-00056,Basic,E-commerce,Delhi,Referral,Monthly,7,960.0,11520.0,3.0,33.0,4,4600.0,2022-04-17,2022-11-28,1,11520.0
RIQ-00057,Basic,Healthcare,Mumbai,Social Media,Annual,5,870.0,10440.0,1.0,,5,2800.0,2022-06-09,,0,0.0
RIQ-00058,Basic,E-commerce,Hyderabad,Direct,Monthly,7,600.0,7200.0,2.0,34.0,1,2800.0,2023-10-12,2024-05-21,1,7200.0
RIQ-00059,Basic,E-commerce,Bengaluru,Paid Search,Monthly,7,920.0,11040.0,1.0,33.0,6,3300.0,2022-04-05,2022-11-06,1,11040.0
RIQ-00060,Basic,Healthcare,Delhi,Email Campaign,Annual,3,880.0,10560.0,4.0,55.0,5,4900.0,2023-10-15,,0,0.0
RIQ-00061,Basic,Fintech,Chennai,Organic Search,Monthly,1,850.0,10200.0,3.0,34.0,8,2300.0,2023-07-29,2023-08-13,1,10200.0
RIQ-00062,Pro,Fintech,Bengaluru,Paid Search,Annual,34,1650.0,19800.0,1.0,25.0,9,11200.0,2022-02-06,,0,0.0
RIQ-00063,Pro,Edtech,Delhi,Email Campaign,Monthly,8,1630.0,19560.0,2.0,35.0,18,14400.0,2022-11-12,,0,0.0
RIQ-00064,Pro,Edtech,Pune,Email Campaign,Monthly,3,1540.0,18480.0,0.0,76.0,10,8200.0,2023-01-02,,0,0.0
RIQ-00065,Pro,Healthcare,Delhi,Email Campaign,Monthly,2,2280.0,27360.0,1.0,85.0,12,14300.0,2023-02-21,2023-04-26,1,27360.0
RIQ-00066,Pro,Fintech,Hyderabad,Referral,Annual,13,1660.0,19920.0,0.0,42.0,11,6200.0,2022-07-01,,0,0.0
RIQ-00067,Basic,Edtech,Chennai,Organic Search,Annual,8,670.0,8040.0,2.0,77.0,8,4400.0,2023-02-26,,0,0.0
RIQ-00068,Basic,Fintech,Bengaluru,Social Media,Monthly,11,630.0,7560.0,3.0,46.0,10,4600.0,2022-04-21,2023-03-14,1,7560.0
RIQ-00069,Basic,Edtech,Pune,Organic Search,Monthly,4,910.0,10920.0,3.0,67.0,2,2900.0,2023-04-17,2023-08-11,1,10920.0
RIQ-00070,Basic,E-commerce,Mumbai,Social Media,Monthly,5,510.0,6120.0,3.0,40.0,1,3200.0,2022-07-17,,0,0.0
RIQ-00071,Basic,Fintech,Mumbai,Referral,Monthly,2,890.0,10680.0,2.0,44.0,3,3500.0,2022-12-26,2023-03-01,1,10680.0
RIQ-00072,Pro,Edtech,Bengaluru,Social Media,Annual,9,1830.0,21960.0,1.0,67.0,12,14700.0,2022-01-29,,0,0.0
RIQ-00073,Basic,Fintech,Delhi,Organic Search,Monthly,2,980.0,11760.0,2.0,32.0,3,2300.0,2022-09-29,2022-11-14,1,11760.0
RIQ-00074,Basic,Fintech,Mumbai,Referral,Annual,3,660.0,7920.0,0.0,59.0,2,5000.0,2023-09-13,,0,0.0
RIQ-00075,Basic,Fintech,Mumbai,Paid Search,Annual,19,590.0,7080.0,0.0,14.0,13,4100.0,2022-02-15,,0,0.0
RIQ-00076,Basic,E-commerce,Delhi,Social Media,Annual,3,770.0,9240.0,3.0,48.0,5,3100.0,2023-11-18,2024-02-07,1,9240.0
RIQ-00077,Pro,Edtech,Pune,Email Campaign,Annual,9,1830.0,21960.0,0.0,67.0,7,7100.0,2022-11-18,,0,0.0
RIQ-00078,Basic,Healthcare,Chennai,Social Media,Monthly,2,750.0,9000.0,1.0,15.0,8,3000.0,2023-11-14,2024-01-11,1,9000.0
RIQ-00079,Pro,E-commerce,Mumbai,Organic Search,Annual,37,1690.0,20280.0,2.0,43.0,16,12100.0,2023-11-12,,0,0.0
RIQ-00080,Basic,Edtech,Mumbai,Organic Search,Monthly,11,810.0,9720.0,0.0,19.0,8,3600.0,2022-11-05,2023-09-28,1,9720.0
RIQ-00081,Basic,Fintech,Delhi,Social Media,Monthly,6,710.0,8520.0,3.0,34.0,6,4000.0,2023-08-17,2024-02-17,1,8520.0
RIQ-00082,Basic,Fintech,Mumbai,Organic Search,Monthly,11,610.0,7320.0,3.0,53.0,8,4700.0,2023-04-30,2024-04-04,1,7320.0
RIQ-00083,Pro,Edtech,Mumbai,Direct,Annual,3,1580.0,18960.0,2.0,81.0,14,11600.0,2023-06-12,,0,0.0
RIQ-00084,Pro,Fintech,Pune,Paid Search,Monthly,11,2450.0,29400.0,0.0,76.0,14,8000.0,2022-08-29,,0,0.0
RIQ-00085,Basic,Healthcare,Chennai,Direct,Monthly,6,510.0,6120.0,4.0,19.0,8,3800.0,2022-09-08,2023-03-07,1,6120.0
RIQ-00086,Pro,Edtech,Hyderabad,Organic Search,Annual,7,2390.0,28680.0,2.0,77.0,15,12300.0,2023-08-13,,0,0.0
RIQ-00087,Basic,Healthcare,Mumbai,Email Campaign,Annual,7,620.0,7440.0,5.0,86.0,4,4100.0,2023-11-03,,0,0.0
RIQ-00088,Pro,Edtech,Bengaluru,Referral,Monthly,5,2380.0,28560.0,0.0,37.0,10,14600.0,2023-03-12,2023-08-01,1,28560.0
RIQ-00089,Basic,E-commerce,Chennai,Social Media,Annual,4,520.0,6240.0,3.0,42.0,2,4800.0,2022-09-13,,0,0.0
RIQ-00090,Basic,Fintech,Mumbai,Direct,Monthly,3,730.0,8760.0,4.0,35.0,3,3800.0,2023-06-28,2023-09-28,1,8760.0
RIQ-00091,Basic,E-commerce,Chennai,Email Campaign,Monthly,22,810.0,9720.0,2.0,59.0,10,3300.0,2023-06-01,,0,0.0
RIQ-00092,Basic,E-commerce,Bengaluru,Social Media,Monthly,7,580.0,6960.0,0.0,38.0,8,3400.0,2023-05-02,,0,0.0
RIQ-00093,Enterprise,Healthcare,Pune,Referral,Annual,23,6390.0,76680.0,0.0,43.0,16,37600.0,2023-06-18,,0,0.0
RIQ-00094,Basic,E-commerce,Delhi,Referral,Monthly,1,860.0,10320.0,3.0,36.0,10,3000.0,2022-08-29,2022-09-21,1,10320.0
RIQ-00095,Basic,Healthcare,Pune,Referral,Monthly,16,570.0,6840.0,6.0,41.0,6,4100.0,2023-01-28,,0,0.0
RIQ-00096,Basic,Healthcare,Pune,Social Media,Monthly,1,700.0,8400.0,3.0,58.0,1,3200.0,2023-07-10,2023-08-08,1,8400.0
RIQ-00097,Basic,Fintech,Bengaluru,Direct,Monthly,4,950.0,11400.0,2.0,48.0,7,4100.0,2023-08-22,2024-01-04,1,11400.0
RIQ-00098,Pro,E-commerce,Bengaluru,Paid Search,Monthly,16,1880.0,22560.0,0.0,68.0,11,12800.0,2022-01-07,2023-05-17,1,22560.0
RIQ-00099,Basic,Edtech,Pune,Referral,Annual,5,980.0,11760.0,2.0,22.0,5,3600.0,2023-03-06,,0,0.0
RIQ-00100,Basic,E-commerce,Hyderabad,Referral,Monthly,3,950.0,11400.0,2.0,42.0,8,2800.0,2023-05-15,2023-08-05,1,11400.0
RIQ-00101,Basic,Healthcare,Delhi,Email Campaign,Annual,3,830.0,9960.0,1.0,22.0,11,4200.0,2023-02-19,,0,0.0
RIQ-00102,Enterprise,E-commerce,Pune,Email Campaign,Annual,42,9900.0,118800.0,,97.0,23,42600.0,2023-07-01,,0,0.0
RIQ-00103,basic,Fintech,Bengaluru,Paid Search,Annual,6,510.0,6120.0,0.0,16.0,8,2400.0,2023-10-21,2024-04-16,1,6120.0
RIQ-00104,Basic,E-commerce,Mumbai,Social Media,Monthly,6,690.0,8280.0,2.0,51.0,7,3000.0,2022-08-05,2023-01-31,1,8280.0
RIQ-00105,Basic,E-commerce,Chennai,Organic Search,Monthly,6,880.0,10560.0,3.0,48.0,1,4500.0,2023-03-08,2023-08-28,1,10560.0
RIQ-00106,Basic,E-commerce,Delhi,Organic Search,Monthly,7,530.0,6360.0,2.0,70.0,9,2700.0,2022-12-25,,0,0.0
RIQ-00107,Basic,Edtech,Hyderabad,Email Campaign,Annual,11,520.0,6240.0,3.0,47.0,9,4800.0,2022-02-01,,0,0.0
RIQ-00108,Pro,Edtech,Hyderabad,Organic Search,Annual,1,1650.0,19800.0,0.0,43.0,11,7000.0,2022-05-10,,0,0.0
RIQ-00109,Basic,Fintech,Hyderabad,Paid Search,Monthly,45,730.0,8760.0,2.0,35.0,6,3100.0,2022-09-20,2026-06-10,1,8760.0
RIQ-00110,Basic,Healthcare,Hyderabad,Referral,Monthly,5,860.0,10320.0,1.0,49.0,10,4900.0,2022-06-17,,0,0.0
RIQ-00111,Basic,Healthcare,Chennai,Social Media,Annual,3,650.0,7800.0,2.0,71.0,11,4900.0,2023-11-25,2024-03-08,1,7800.0
RIQ-00112,Pro,Healthcare,Mumbai,Paid Search,Monthly,57,1570.0,18840.0,0.0,61.0,18,12300.0,2023-10-05,,0,0.0
RIQ-00113,Basic,Edtech,Delhi,Social Media,Annual,2,840.0,10080.0,2.0,21.0,10,5000.0,2022-05-04,2022-07-13,1,10080.0
RIQ-00114,Enterprise,Edtech,Delhi,Organic Search,Annual,6,7140.0,85680.0,1.0,70.0,26,20500.0,2023-01-15,,0,0.0
RIQ-00115,Pro,E-commerce,Mumbai,Organic Search,Annual,22,1920.0,23040.0,1.0,68.0,15,14600.0,2023-05-17,,0,0.0
RIQ-00116,Basic,E-commerce,Delhi,Organic Search,Annual,7,910.0,10920.0,1.0,42.0,1,3300.0,2022-06-06,,0,0.0
RIQ-00117,Basic,E-commerce,Mumbai,Direct,Annual,27,630.0,7560.0,0.0,47.0,7,4300.0,2023-07-06,,0,0.0
RIQ-00118,Basic,Edtech,Hyderabad,Organic Search,Monthly,1,800.0,9600.0,2.0,49.0,3,2700.0,2022-11-27,2023-01-08,1,9600.0
RIQ-00119,Basic,Fintech,Pune,Direct,Monthly,10,720.0,8640.0,4.0,48.0,7,3800.0,2023-04-21,2024-02-18,1,8640.0
RIQ-00120,Pro,Edtech,Hyderabad,Organic Search,Annual,18,2350.0,28200.0,1.0,60.0,15,9200.0,2022-07-06,,0,0.0
RIQ-00121,Pro,Fintech,Pune,Social Media,Monthly,7,1780.0,21360.0,3.0,85.0,12,8500.0,2023-09-03,,0,0.0
RIQ-00122,Basic,Edtech,Delhi,Social Media,Monthly,10,970.0,11640.0,2.0,21.0,3,4200.0,2022-03-29,2023-01-15,1,11640.0
RIQ-00123,Pro,Fintech,Bengaluru,Paid Search,Annual,32,2190.0,26280.0,1.0,36.0,7,10000.0,2023-10-24,,0,0.0
RIQ-00124,Pro,Fintech,Pune,Referral,Monthly,50,1790.0,21480.0,0.0,75.0,15,8800.0,2023-02-19,,0,0.0
RIQ-00125,Basic,Healthcare,Delhi,Organic Search,Monthly,6,740.0,8880.0,1.0,62.0,3,3300.0,2023-06-28,2023-12-21,1,8880.0
RIQ-00126,Pro,Fintech,Delhi,Social Media,Annual,3,2200.0,26400.0,0.0,44.0,16,8100.0,2022-10-05,,0,0.0
RIQ-00127,Basic,Fintech,Delhi,Direct,Monthly,6,660.0,7920.0,2.0,53.0,6,4900.0,2023-07-03,,0,0.0
RIQ-00128,Enterprise,E-commerce,Mumbai,Referral,Annual,15,8690.0,104280.0,2.0,88.0,19,41000.0,2022-10-11,,0,0.0
RIQ-00129,Basic,Fintech,Mumbai,Referral,Monthly,5,640.0,7680.0,1.0,56.0,7,2600.0,2022-04-13,2022-09-21,1,7680.0
RIQ-00130,Basic,Fintech,Bengaluru,Social Media,Monthly,3,510.0,6120.0,2.0,30.0,12,2800.0,2023-07-01,2023-09-18,1,6120.0
RIQ-00131,Pro,Healthcare,Mumbai,Organic Search,Monthly,21,2200.0,26400.0,1.0,42.0,11,10400.0,2022-05-10,2024-02-04,1,26400.0
RIQ-00132,Basic,E-commerce,Pune,Paid Search,Annual,7,790.0,9480.0,3.0,67.0,1,3400.0,2023-04-26,,0,0.0
RIQ-00133,Pro,Fintech,Bengaluru,Organic Search,Annual,14,1750.0,21000.0,1.0,44.0,16,6600.0,2023-05-05,,0,0.0
RIQ-00134,Basic,Fintech,Delhi,Referral,Annual,13,790.0,9480.0,2.0,46.0,9,2500.0,2022-02-24,,0,0.0
RIQ-00135,pro,E-commerce,Hyderabad,Organic Search,Monthly,28,1580.0,18960.0,2.0,42.0,10,9700.0,2022-09-12,2024-12-18,1,18960.0
RIQ-00136,Enterprise,Fintech,Delhi,Social Media,Annual,17,8090.0,97080.0,1.0,74.0,25,31900.0,2023-06-20,,0,0.0
RIQ-00137,Basic,Healthcare,Mumbai,Email Campaign,Monthly,4,790.0,9480.0,5.0,23.0,4,3700.0,2023-03-16,2023-07-08,1,9480.0
RIQ-00138,Enterprise,Fintech,Pune,Organic Search,Annual,56,5500.0,66000.0,2.0,63.0,24,23200.0,2022-08-01,,0,0.0
RIQ-00139,Basic,Edtech,Mumbai,Organic Search,Monthly,2,620.0,7440.0,4.0,0.0,7,2500.0,2023-07-20,2023-09-05,1,7440.0
RIQ-00140,Basic,Fintech,Hyderabad,Organic Search,Monthly,1,730.0,8760.0,2.0,34.0,4,2900.0,2022-02-03,2022-02-25,1,8760.0
RIQ-00141,Basic,Fintech,Mumbai,Social Media,Monthly,46,530.0,6360.0,,0.0,9,4800.0,2022-08-28,,0,0.0
RIQ-00142,Basic,E-commerce,Delhi,Social Media,Monthly,15,830.0,9960.0,2.0,34.0,1,2300.0,2022-07-22,2023-10-13,1,9960.0
RIQ-00143,Pro,E-commerce,Bengaluru,Paid Search,Monthly,1,1760.0,21120.0,0.0,61.0,16,7500.0,2022-05-26,,0,0.0
RIQ-00144,Basic,Healthcare,Mumbai,Social Media,Monthly,2,870.0,10440.0,2.0,20.0,1,2900.0,2023-08-06,2023-10-19,1,10440.0
RIQ-00145,Enterprise,Healthcare,Pune,Paid Search,Annual,33,8500.0,102000.0,1.0,73.0,25,23200.0,2022-10-06,,0,0.0
RIQ-00146,Enterprise,Fintech,Bengaluru,Organic Search,Annual,21,5200.0,62400.0,0.0,76.0,28,21000.0,2023-03-19,,0,0.0
RIQ-00147,Basic,Fintech,Mumbai,Organic Search,Monthly,1,610.0,7320.0,3.0,66.0,3,4600.0,2023-11-22,2024-01-02,1,7320.0
RIQ-00148,Basic,E-commerce,Hyderabad,Email Campaign,Monthly,3,880.0,10560.0,0.0,62.0,2,2100.0,2022-10-03,2023-01-04,1,10560.0
RIQ-00149,Basic,E-commerce,Bengaluru,Email Campaign,Annual,9,820.0,9840.0,1.0,71.0,13,2500.0,2022-10-12,,0,0.0
RIQ-00150,Pro,E-commerce,Delhi,Direct,Annual,5,1990.0,23880.0,1.0,99.0,9,9700.0,2022-04-04,,0,0.0
RIQ-00151,Basic,E-commerce,Pune,Referral,Annual,3,550.0,6600.0,5.0,66.0,5,3000.0,2022-06-14,,0,0.0
RIQ-00152,Pro,E-commerce,Bengaluru,Direct,Annual,45,2440.0,29280.0,0.0,60.0,13,6800.0,2023-07-18,,0,0.0
RIQ-00153,Basic,Edtech,Pune,Referral,Annual,7,560.0,6720.0,2.0,77.0,8,4600.0,2023-02-18,,0,0.0
RIQ-00154,Pro,E-commerce,Bengaluru,Organic Search,Monthly,5,2370.0,28440.0,2.0,85.0,12,7700.0,2023-04-19,,0,0.0
RIQ-00155,Pro,Fintech,Mumbai,Paid Search,Annual,25,2260.0,27120.0,1.0,47.0,16,6500.0,2023-10-03,,0,0.0
RIQ-00156,Basic,E-commerce,Delhi,Email Campaign,Monthly,45,560.0,6720.0,2.0,49.0,9,3300.0,2022-10-22,,0,0.0
RIQ-00157,Pro,E-commerce,Bengaluru,Paid Search,Annual,26,2470.0,29640.0,0.0,52.0,24,12400.0,2023-09-16,,0,0.0
RIQ-00158,Pro,Fintech,Bengaluru,Referral,Monthly,19,1510.0,18120.0,1.0,61.0,19,13600.0,2023-02-22,2024-09-01,1,18120.0
RIQ-00159,Basic,Fintech,Hyderabad,Email Campaign,Monthly,6,970.0,11640.0,1.0,32.0,1,2500.0,2023-10-26,2024-05-04,1,11640.0
RIQ-00160,Pro,Fintech,Chennai,Direct,Monthly,17,2200.0,26400.0,1.0,55.0,15,14800.0,2023-03-02,,0,0.0
RIQ-00161,Basic,Fintech,Bengaluru,Organic Search,Monthly,4,770.0,9240.0,1.0,47.0,1,2600.0,2023-01-28,,0,0.0
RIQ-00162,Basic,Edtech,Pune,Email Campaign,Monthly,2,570.0,6840.0,3.0,48.0,4,4300.0,2022-03-13,2022-05-05,1,6840.0
RIQ-00163,Pro,Fintech,Mumbai,Referral,Monthly,3,2290.0,27480.0,3.0,60.0,13,12500.0,2022-10-01,2023-01-10,1,27480.0
RIQ-00164,Enterprise,E-commerce,Delhi,Email Campaign,Monthly,17,7900.0,94800.0,1.0,65.0,21,41500.0,2023-11-07,,0,0.0
RIQ-00165,Basic,Edtech,Delhi,Paid Search,Monthly,19,670.0,8040.0,0.0,49.0,6,4300.0,2023-07-20,,0,0.0
RIQ-00166,Basic,Edtech,Delhi,Referral,Annual,32,930.0,11160.0,2.0,21.0,15,3700.0,2022-09-02,,0,0.0
RIQ-00167,Basic,E-commerce,Mumbai,Paid Search,Monthly,3,520.0,6240.0,3.0,52.0,8,4700.0,2023-04-30,2023-08-05,1,6240.0
RIQ-00168,Basic,E-commerce,Bengaluru,Social Media,Monthly,2,900.0,10800.0,4.0,56.0,14,3500.0,2023-10-30,2023-12-18,1,10800.0
RIQ-00169,Pro,Edtech,Mumbai,Email Campaign,Annual,4,2090.0,25080.0,0.0,53.0,10,10000.0,2022-04-13,,0,0.0
RIQ-00170,Basic,Healthcare,Pune,Email Campaign,Annual,3,730.0,8760.0,3.0,43.0,3,4600.0,2022-05-28,2022-08-24,1,8760.0
RIQ-00171,Basic,E-commerce,Hyderabad,Email Campaign,Monthly,4,890.0,10680.0,3.0,61.0,3,3900.0,2022-09-29,2023-01-22,1,10680.0
RIQ-00172,Pro,Edtech,Chennai,Social Media,Monthly,3,1830.0,21960.0,2.0,55.0,12,9400.0,2023-11-22,,0,0.0
RIQ-00173,Pro,E-commerce,Bengaluru,Referral,Annual,2,2220.0,26640.0,2.0,60.0,15,6300.0,2023-05-15,,0,0.0
RIQ-00174,Pro,E-commerce,Pune,Social Media,Annual,3,2130.0,25560.0,0.0,83.0,24,12700.0,2022-10-22,,0,0.0
RIQ-00175,Basic,Fintech,Mumbai,Email Campaign,Monthly,14,550.0,6600.0,2.0,68.0,5,4600.0,2023-10-11,2024-12-11,1,6600.0
RIQ-00176,Basic,Healthcare,Delhi,Organic Search,Monthly,10,950.0,11400.0,1.0,34.0,4,4400.0,2022-02-17,2022-12-09,1,11400.0
RIQ-00177,Pro,Fintech,Hyderabad,Paid Search,Monthly,30,1640.0,19680.0,2.0,68.0,10,12100.0,2023-06-28,,0,0.0
RIQ-00178,Basic,E-commerce,Pune,Paid Search,Monthly,15,590.0,7080.0,2.0,10.0,6,3100.0,2023-09-17,2024-12-22,1,7080.0
RIQ-00179,Basic,Fintech,Chennai,Email Campaign,Monthly,12,790.0,9480.0,3.0,57.0,13,3900.0,2022-08-26,2023-08-20,1,9480.0
